TIME_PERIOD,excess_reserves,short_rate,govt_yield_10y,ltd_ratio_calc
2004-09-01,139325.07142857142,1.9668181818181814,4.056385965909928,112.47630253713199
2004-10-01,139285.20588235295,2.026428571428571,3.946551962453719,112.24453054085768
2004-11-01,138433.82142857142,1.9999999999999991,3.8406297935587848,112.34223750905332
2004-12-01,138545.0,1.9684782608695648,3.629215855510724,111.64568038452913
2005-01-01,139123.11904761905,1.9921428571428565,3.561361357733862,111.89995005859727
2005-02-01,140019.1,1.9735,3.5294320383515965,111.7465522354397
2005-03-01,141349.62068965516,1.9716666666666662,3.6841359525710553,111.9883063267331
2005-04-01,143282.88571428572,1.990714285714286,3.5097859822118624,111.72822235563493
2005-05-01,144020.89285714287,1.9849999999999999,3.3693743482075322,112.0510834123928
2005-06-01,145455.7857142857,1.977272727272727,3.211288144524447,111.81717542502561
2005-07-01,147891.6857142857,1.987857142857142,3.2502415556917534,111.96309996004095
2005-08-01,149791.32142857142,1.9758695652173905,3.263825950687839,112.55658020478911
2005-09-01,150246.2857142857,2.009090909090909,3.107530591324485,112.74175669618344
2005-10-01,151429.08571428573,1.9821428571428563,3.2571092325424607,112.64885305855881
2005-11-01,150243.2857142857,2.0009090909090905,3.468369687517416,112.87142903833183
2005-12-01,152996.55555555556,2.190714285714286,3.3710738474506003,111.81631151413261
2006-01-01,154056.7906976744,2.2413636363636362,3.3440950114668766,112.65191692766341
2006-02-01,155358.38095238095,2.2645,3.485953723341852,112.91448009695794
2006-03-01,158289.92857142858,2.4349999999999987,3.6595532857321333,112.65923718629361
2006-04-01,159493.37142857144,2.543333333333333,3.9286591913465623,112.4775281419182
2006-05-01,161179.75,2.4918181818181826,3.97503947644713,112.75616485282569
2006-06-01,163316.61111111112,2.6127272727272732,3.9865057302946014,112.42958717380085
2006-07-01,166321.55555555556,2.728809523809523,4.012376129683988,112.94983445922773
2006-08-01,167089.07142857142,2.883260869565217,3.912650148624689,113.2346505662869
2006-09-01,166399.25,2.9559523809523807,3.7818506399563745,113.09990830169001
2006-10-01,166973.82857142857,3.193181818181818,3.7629710640977567,113.4663954211443
2006-11-01,167013.57142857142,3.2427272727272722,3.7438802321042854,113.12177674901567
2006-12-01,173159.82857142857,3.416052631578948,3.80819107122679,112.09138053697029
2007-01-01,175264.3142857143,3.4781818181818176,4.032608115528745,113.00529180499733
