TIME_PERIOD,excess_reserves,estr_rate,govt_yield_10y,ltd_ratio_calc
2019-10-01,1388477.7142857143,-0.5492173913043479,0.061648588287566905,102.907179736989
2019-11-01,1388477.7142857143,-0.5362857142857143,0.173652851634387,102.71147486739731
2019-12-01,1662131.8775510204,-0.5412000000000001,0.23713514530674898,102.3991944062143
2020-01-01,1623712.5,-0.5376818181818183,0.18305422480600403,103.21837873487152
2020-02-01,1623712.5,-0.5383,0.015126304517253988,102.61222624144541
2020-03-01,1642347.4897959183,-0.5338181818181819,0.2668565047763515,101.37398829284483
2020-04-01,1642347.4897959183,-0.53655,0.5214416257056576,101.23699714294992
2020-05-01,1820198.224489796,-0.5417500000000001,0.3714218309997231,100.89250169115283
2020-06-01,1966527.2,-0.5457272727272727,0.15666113382271918,100.93079224111787
2020-07-01,2345877.976190476,-0.5498695652173913,0.014696714382233996,101.35415915276333
2020-08-01,2345877.976190476,-0.5527142857142857,-0.027876264649733945,101.33966758931791
2020-09-01,2625679.446428572,-0.5539545454545455,-0.044812879010598924,101.17736580797163
2020-10-01,2625679.446428572,-0.5543636363636364,-0.11055138266444181,101.7184418026847
2020-11-01,2797019.0,-0.5563333333333335,-0.16021947914554555,102.07850795767241
2020-12-01,2960730.619047619,-0.5574545454545455,-0.19703830476799036,101.33312457714479
2021-01-01,3029375.595238095,-0.56335,-0.1797872783361427,101.98525581229268
2021-02-01,3029375.595238095,-0.56375,-0.012627426207895096,102.02424489987156
2021-03-01,3157713.8775510206,-0.5643478260869565,0.07588958746721755,102.03383620026119
2021-04-01,3421061.1904761903,-0.5658,0.12534738527822464,102.58734888699817
2021-05-01,3421061.1904761903,-0.5647142857142856,0.26844468370673064,102.45945522545794
2021-06-01,3591663.612244898,-0.564590909090909,0.2086435436753656,102.20626203449692
2021-07-01,3653108.261904762,-0.5662272727272727,0.06262459886018101,102.29082363463313
2021-08-01,3653108.261904762,-0.5679090909090909,-0.04713877540878631,102.48178030625394
2021-09-01,3726184.9795918367,-0.5700454545454545,0.08299323126439243,102.61348406706131
2021-10-01,3726184.9795918367,-0.5705714285714285,0.2283977197641162,102.91652873892762
2021-11-01,3806501.9591836734,-0.573,0.22221338806821433,103.1753686625706
2021-12-01,3843315.836734694,-0.5772173913043478,0.1787259401384713,101.81016507924474
2022-01-01,3843315.836734694,-0.5778571428571428,0.3832687043618597,103.0642710414094
2022-02-01,3812327.7551020407,-0.5765499999999999,0.7837230813897433,103.10555543181398
2022-03-01,3900772.371428572,-0.5786956521739129,0.9367096611560031,102.88557033289361
2022-04-01,3927312.285714286,-0.5836842105263158,1.4104015198147248,103.4134442258334
2022-05-01,3927312.285714286,-0.5849545454545454,1.7166917333263376,103.45822226866386
2022-06-01,4046093.035714286,-0.5819545454545454,2.2738974855955383,103.30210117772647
2022-07-01,3943319.047619048,-0.5106190476190475,1.9690819776852144,103.16669728019603
2022-08-01,3943319.047619048,-0.08478260869565217,1.8726699364707442,103.2988444104572
2022-09-01,3936094.0,0.3553181818181818,2.6302756010466264,104.11309023515949
2022-10-01,3936094.0,0.656,3.0726286892402315,104.45873839181561
2022-11-01,331995.9591836735,1.3679545454545454,2.9080437933456404,104.56550963896704
2022-12-01,213771.4897959184,1.5683809523809524,2.919595673635491,104.36686994770908
2023-01-01,213771.4897959184,1.9019090909090908,2.9773480202887885,105.65872270028018
2023-02-01,195602.42857142852,2.2745,3.1518099416068894,105.95921378261848
2023-03-01,191065.8333333333,2.5721304347826086,3.1796453755176484,105.65657056573743
2023-04-01,191065.8333333333,2.8998333333333335,3.1738826731398073,105.9912947669281
2023-05-01,182741.90832040817,3.0796363636363635,3.173972673570802,106.40212744069527
2023-06-01,181610.57581666665,3.2380454545454542,3.1604797686954544,106.23925217195152
2023-07-01,181610.57581666665,3.402190476190476,3.2419829490809526,106.69583153177634
2023-08-01,177429.15345238094,3.6418695652173914,3.321939262573913,106.65965222289763
2023-09-01,174322.16077959185,3.7466190476190477,3.465307798804762,106.33727953583812
2023-10-01,174559.5582952381,3.900727272727273,3.6832108179954544,106.72811326932252
2023-11-01,174559.5582952381,3.9017272727272725,3.3824588424454545,106.50934353121428
2023-12-01,171991.36667959185,3.9015263157894737,2.862926882831579,105.975973598636
2024-01-01,170457.10963571427,3.9040000000000004,2.931057901759091,106.41472408320315
2024-02-01,170457.10963571427,3.907142857142857,3.0234484449333334,106.17505066527058
2024-03-01,168590.12412857145,3.9066,2.966183415885,105.82872933332474
2024-04-01,168361.5906771429,3.9077142857142855,3.0717678531380948,105.81386807674338
2024-05-01,168361.5906771429,3.906863636363636,3.1051512116954543,105.38764544439712
2024-06-01,166682.09731071428,3.7494500000000004,3.14178145667,104.99657005868741
2024-07-01,168118.62168333336,3.6626086956521737,3.0663582042565216,105.11157333529562
2024-08-01,168118.62168333336,3.663409090909091,2.930824615922727,104.61763972535411
2024-09-01,169322.00195535715,3.556523809523809,2.875353411247619,104.60921660301352
2024-10-01,169045.1846142857,3.337521739130435,2.8924412365391303,104.3810679743245
2024-11-01,169045.1846142857,3.1644285714285716,2.9406187829809523,103.95066577645062
2024-12-01,168136.33289107142,3.06415,2.7943984798000003,103.73207186302793
2025-01-01,168136.33289107142,2.919454545454545,3.0809863873590904,103.93558963572846
2025-02-01,170820.89703265307,2.69065,2.96420486492,103.4317987627239
2025-03-01,172388.28214857145,2.4988571428571427,3.2681385692190474,103.35934574441514
2025-04-01,171648.82841904764,2.3411,3.11308984456,102.84893847299021
2025-05-01,171648.82841904764,2.169095238095238,3.101020090080952,102.46449497975772
2025-06-01,172713.14183061224,2.0068571428571427,3.0681422749523812,102.67906415423609
2025-07-01,172062.5214653061,1.922304347826087,3.144174955526087,102.56840919979695
2025-08-01,172062.5214653061,1.924,3.1722572981047614,102.4711877411264
2025-09-01,173135.40389387755,1.9245454545454548,3.1888058313181817,102.11369518748954
2025-10-01,173135.40389387755,1.9268260869565217,3.1015785905086957,101.94360427093889
2025-11-01,174505.26158367345,1.92895,3.120215533115,101.48399951498024
2025-12-01,173060.01101666666,1.9294761904761903,3.236495635214286,101.40377995829513
2026-01-01,173060.01101666666,1.9319523809523809,3.2100383511,101.06755295188377
2026-02-01,175536.08966551,1.9312,3.1200214187900004,100.90242970964529
